site	air_mean_temp	air_pressure	alt	slope_per	din	ppo4	tmean	DOmean	flow_vel	mean_depth_m	discharge	NDVI100m	algal production	GPP.mle	ER.mle	K600_hyd	pCH4	pCO2	FCH4.h	FCO2.h
site1	28.82	994.7363109	194	0.058	1.606	0.68	19.6	7.9	0.096	0.09	0.024	0.17	0.105551333	8.73	-78.52	17.59127751	3.5	2116.9	1.251146502	2400.880718
site2	28.5	991.2306995	195	0.16	1.006	0.57	18.4	8.7	0.145	0.106	0.031	0.55	0.018037333	10.15	-93.07	54.77044058	4	884.9	4.945120679	2024.885058
site3	8.74	941.0456492	607	0.027	0.303	0.03	12.2	9.4	0.083	0.185	0.032	0.52	0.062679273	5.44	-25.69	8.715306137	2.4	642.9	0.173203888	133.1215188
site4	18.97	961.4177591	458	0.079	0.227	0.24	17.9	7.8	0.037	0.35	0.006	0.73	0.015940457	6.61	-35.36	9.94653399	4.5	1050.4	1.011708127	468.6955386
site5	18.97	955.7006408	496	0.031	0.517	0.07	19.7	7.2	0.077	0.212	0.038	0.33	0.060116	15.75	-51.08	9.003090657	5.3	512.3	1.256707411	69.43334366
site6	18.51	941.1715286	652	0.147	0.216	0.04	19.2	8.3	0.047	0.13	0.013	0.71	0.038013217	9.54	-28.7	19.71604189	3.7	780.4	1.433868944	549.1206029
site7	19.79	1000.334871	131	0.059	0.407	0	21.1	8.1	0.211	0.332	0.42	0.4	0.0763296	80.65	-283.89	34.97684061	3.2	728.5	1.945178095	859.3167914
site8	20.73	1007.377731	67	0.016	0.526	0.29	21.3	8.6	0.193	0.358	0.538	0.51	0.09744	24.59	-51.28	11.84664776	5.4	585.6	1.732159477	159.0713909
site9	22.47	948.3285036	604	0.126	0.026	0.02	17.2	8.6	0.065	0.104	0.013	0.77	0.022199415	2.99	-25.99	23.20362667	3.2	497.2	1.199059006	142.3241659
site10	23.32	981.0795441	288	0.203	0.206	0.06	20.7	8.3	0.047	0.224	0.147	0.07	0.044781538	82.76	-144.3	25.32365154	4	723.3	2.268669311	610.3930024
site11	24.33	971.0981001	381	0.102	0.317	0.1	19	8.5	0.081	0.244	0.105	0.59	0.034819291	12.55	-61.67	23.64948495	4.2	881.4	2.213155856	841.2876351
site12	23.05	1009.167988	33	0.032	1.415	0.18	18.4	8.5	0.186	0.359	0.15	0.07	0.141637943	25	-180.28	19.66172053	4.5	879.9	2.082319051	702.0349156
site13	21.71	910.8031148	930	0.032	0.247	0.22	19.7	6.6	0.028	0.296	0.074	0.64	0.080829257	12.88	-60.71	3.951307852	11.1	1776.5	1.460780321	415.6239171
site14	21.71	912.9160811	898	0.023	0.236	0.12	18.6	7.4	0.226	0.256	0.405	0.63	0.129712457	52.07	-161.82	17.71547847	8.1	944.6	4.315140022	713.9700179
site15	18.95	999.9470609	129	0.047	0.316	0.41	22.8	8.2	0.091	0.488	0.503	0.27	0.094336	61.98	-104.52	14.25629004	4	334.8	1.405386642	-93.82949589
site16	22.44	1008.926342	34	0.032	3.357	0.115	20.6	7.1	0.026	0.548	0.065	0.12	0.163725714	76.42	-170.93	3.736855724	8.1	1418.1	0.521330612	226.3708578
site17	22.47	968.2615144	402	0.174	0.226	0.1	22.7	7.5	0.049	0.42	0.126	0.57	0.032476098	37.2	-137.85	23.4432235	3.6	653.5	1.868610568	460.989325
site18	20.75	995.8520313	143	0.021	2.821	0.42	23	6.2	0.323	0.288	0.368	0.52	0.545578667	226.74	-613.98	22.54671627	17.9	1522	16.93602625	2141.032935
site19	20.61	987.7699602	220	0.014	1.789	0.16	18.6	6.8	0.054	0.048	0.003	0.09	0.311233412	-0.82	-9.53	3.703841334	3.4	2817.4	0.224059978	665.5685557
site20	24.41	962.120194	474	0.056	0.877	0.16	16.5	8.9	0.1	0.638	0.319	0.44	0.071031771	9.26	-111.67	17.96983412	2.7	674.5	0.604551123	341.7101168
site21	25.08	986.9027527	238	0.058	1.247	0.14	19.5	8.2	0.216	0.098	0.106	0.07	0.126047086	21.8	-88.42	35.12041333	3.8	913.3	2.874568718	1379.015384
site22	20.28	935.4715505	710	0.201	0.027	0.1	15.9	9	0.048	0.098	0.008	0.6	0.036761647	3.63	-13.11	25.39484069	2.7	596.4	0.833118194	341.7644325
site23	20.28	917.9931139	873	0.146	0.127	0.06	17.1	7.1	0.015	0.036	0.001	0.71	0.030972235	1.68	-12.45	7.529680523	3.8	1390	0.560711524	539.8586795
site24	20.76	921.1341689	823	0.061	0.117	0.07	22.5	7.8	0.083	0.324	0.204	0.5	0.072504	33.55	-45.56	16.17331312	3	546.3	0.819096216	176.2758829
site25	22.87	1005.097489	64	0.051	2.836	2.7	20.7	7.6	0.083	0.348	0.101	0.1	0.166140343	53.26	-221.22	14.07511195	4.2	1784.6	1.42108095	1548.90182
site26	22.12	1006.822682	47	0.072	1.326	0.16	19	8.5	0.026	0.292	0.015	0.07	0.0427576	1.93	-39.16	6.820562608	3.6	1236	0.478075395	433.0333708
site27	20.28	936.1252522	842	0.083	0.048	0.05	17.3	8.3	0.046	0.33	0.03	0.6	0.023363294	14.02	-71.65	12.40968214	3.2	709.1	0.652719588	278.3086754
site28	25.87	1006.442991	52	0.025	4.685	0.29	21.6	5.7	0.112	0.068	0.066	0	0.145568229	32.46	-86.96	10.61150506	7.3	1674.3	2.511726409	1084.853633
site29	26.2	1006.565335	62	0.082	2.116	0.08	20.3	7.3	0.063	0.088	0.022	0.07	0.194125714	8.21	-68.31	16.08430997	4.3	1917.7	1.573641679	1844.523883
site30	26.24	995.1458528	162	0.035	2.315	2.82	22.2	8	0.189	0.102	0.04	0.02	0.052461714	35.5	-63.41	21.48414993	7.3	994.8	5.180566701	1025.316519
site31	21.46	986.5833105	243	0.115	0.307	0.07	18.6	8.7	0.139	0.29	0.218	0.07	0.034012235	28.81	-144.15	41.19712193	4.3	601.1	4.249265366	611.8722375
site32	22.35	1000.446049	117	0.043	1.808	0.23	22.3	7.3	0.117	0.142	0.028	0.03	0.226154286	29.59	-113.75	16.72100467	9.4	1322.8	5.174627118	1193.983807
site33	22.8	916.4348849	873	0.032	0.247	0.1	15	7.5	0.069	0.032	0.002	0.36	0.012194743	0.09	-6.52	8.508979905	13.8	1744.6	3.44655987	792.8070294
site34	21.56	934.2786636	706	0.102	0.227	0.08	18.7	7.5	0.153	0.13	0.219	0.25	0.113068457	50.99	-192.99	40.70994428	14.5	1947.7	19.47967934	4669.395919
site35	26.22	1012.556473	6	0.072	2.216	0.25	19.7	7.5	0.12	0.06	0.011	0.11	0.347324343	24.95	-89.44	25.1647702	5.6	1153.8	3.812832753	1438.113422
site36	22.63	1011.028858	10	0.007	2.693	1.72	21.1	5.6	0.085	0.216	0.079	0.05	0.2149888	21.73	-74.62	3.180679258	7.5	1286.3	0.773900503	223.6282957
site37	22.47	928.1620543	763	0.089	0.217	0.06	17.3	8.5	0.042	0.152	0.015	0.5	0.004435282	30.94	-43.64	12.24251917	7.1	2077.4	2.310421117	1462.615412
site38	25.96	1005.296186	64	0.052	2.194	0.34	21.7	3.3	0.081	0.232	0.065	0.02	0.142376229	76.55	-551.46	14.03142216	25.8	3798.8	14.72208114	3890.407102
site39	25.25	996.1121686	144	0.018	2.684	0.27	23.4	6.1	0.228	0.158	0.133	0.18	0.395751543	59.44	-205.49	15.114206	21.8	1471.8	14.50681852	1394.455824
site40	28.82	998.6829096	126	0.032	2.608	0.66	19.1	7.2	0.063	0.022	0.001	0	0.017763733	1.02	-9.53	7.85128069	3.9	4799.6	0.651520885	2684.57782
site41	22.36	941.314747	675	0.192	0.218	0.11	14.7	8.8	0.064	0.056	0.007	0.71	0.002397257	-0.19	-24.44	31.46173886	3.2	754.9	1.483344441	739.3896064
site42	29	1000.386717	109	0.043	1.189	0.63	24.1	4.1	0.095	0.156	0.019	0.39	0.004813333	20.67	-282.34	13.94001868	21.6	2634.6	11.9575834	2523.030005
site43	23.44	1005.807975	58	0.045	1.207	0.145	18	8.4	0.192	0.246	0.159	0.09	0.081020343	10.36	-161.57	26.18555461	2.8	1465	1.016579751	2055.059957
site44	25.13	996.4476489	140	0.02	3.546	0.29	23.1	5.9	0.238	0.184	0.171	0.52	0.583914514	87.71	-303.97	16.9958741	17.9	2070.8	11.23588083	2222.648236
site45	17.8	976.1141579	349	0.187	0.316	0.08	19.8	8.7	0.129	0.304	0.217	0.71	0.048	22.68	-70.17	56.01182486	3.3	399.6	3.409558591	-58.56284265
site46	20.73	1006.67535	50	0.01	0.417	0.06	21.9	8.3	0.167	0.248	1.176	0.37	0.071808	20.54	-41.25	7.391942734	7.2	806.6	1.708987476	235.2354906
site47	23.41	1009.870691	30	0.02	0.719	0.1	25.7	7.2	0.088	0.565	1.731	0.19	0.303473561	64.78	-189.69	7.290701037	14.2	946.2	4.200732409	331.0106439
site48	24.26	953.0755535	546	0.052	0.329	0.08	16.5	8	0.078	0.074	0.008	0.04	0.0482904	24.36	-51.08	13.61025955	5.5	2410.2	1.911060285	2027.920072
