               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-10 18:02:00	22.401	7.961
           2020-07-10 18:12:00	22.343	7.933
           2020-07-10 18:22:00	22.351	7.896
           2020-07-10 18:32:00	22.36	7.814
           2020-07-10 18:42:00	22.401	7.758
           2020-07-10 18:52:00	22.418	7.711
           2020-07-10 19:02:00	22.427	7.635
           2020-07-10 19:12:00	22.443	7.557
           2020-07-10 19:22:00	22.435	7.497
           2020-07-10 19:32:00	22.435	7.429
           2020-07-10 19:42:00	22.435	7.381
           2020-07-10 19:52:00	22.435	7.315
           2020-07-10 20:02:00	22.41	7.269
           2020-07-10 20:12:00	22.385	7.204
           2020-07-10 20:22:00	22.368	7.163
           2020-07-10 20:32:00	22.343	7.088
           2020-07-10 20:42:00	22.301	7.046
           2020-07-10 20:52:00	22.251	6.986
           2020-07-10 21:02:00	22.193	6.929
           2020-07-10 21:12:00	22.159	6.862
           2020-07-10 21:22:00	22.117	6.806
           2020-07-10 21:32:00	22.059	6.756
           2020-07-10 21:42:00	21.975	6.712
           2020-07-10 21:52:00	21.942	6.655
           2020-07-10 22:02:00	21.85	6.622
           2020-07-10 22:12:00	21.783	6.577
           2020-07-10 22:22:00	21.716	6.535
           2020-07-10 22:32:00	21.641	6.502
           2020-07-10 22:42:00	21.566	6.468
           2020-07-10 22:52:00	21.491	6.428
           2020-07-10 23:02:00	21.415	6.394
           2020-07-10 23:12:00	21.332	6.359
           2020-07-10 23:22:00	21.248	6.331
           2020-07-10 23:32:00	21.173	6.293
           2020-07-10 23:42:00	21.089	6.253
           2020-07-10 23:52:00	21.006	6.218
           2020-07-11 00:02:00	20.939	6.176
           2020-07-11 00:12:00	20.847	6.139
           2020-07-11 00:22:00	20.738	6.121
           2020-07-11 00:32:00	20.671	6.094
           2020-07-11 00:42:00	20.588	6.076
           2020-07-11 00:52:00	20.513	6.061
           2020-07-11 01:02:00	20.421	6.063
           2020-07-11 01:12:00	20.379	6.048
           2020-07-11 01:22:00	20.278	6.062
           2020-07-11 01:32:00	20.203	6.058
           2020-07-11 01:42:00	20.144	6.064
           2020-07-11 01:52:00	20.094	6.054
           2020-07-11 02:02:00	20.027	6.064
           2020-07-11 02:12:00	19.977	6.069
           2020-07-11 02:22:00	19.935	6.076
           2020-07-11 02:32:00	19.877	6.071
           2020-07-11 02:42:00	19.835	6.085
           2020-07-11 02:52:00	19.793	6.083
           2020-07-11 03:02:00	19.759	6.094
           2020-07-11 03:12:00	19.718	6.092
           2020-07-11 03:22:00	19.667	6.108
           2020-07-11 03:32:00	19.634	6.107
           2020-07-11 03:42:00	19.583	6.134
           2020-07-11 03:52:00	19.55	6.142
           2020-07-11 04:02:00	19.508	6.155
           2020-07-11 04:12:00	19.458	6.16
           2020-07-11 04:22:00	19.433	6.175
           2020-07-11 04:32:00	19.391	6.182
           2020-07-11 04:42:00	19.357	6.192
           2020-07-11 04:52:00	19.324	6.21
           2020-07-11 05:02:00	19.282	6.215
           2020-07-11 05:12:00	19.24	6.235
           2020-07-11 05:22:00	19.189	6.244
           2020-07-11 05:32:00	19.164	6.267
           2020-07-11 05:42:00	19.131	6.278
           2020-07-11 05:52:00	19.097	6.283
           2020-07-11 06:02:00	19.064	6.296
           2020-07-11 06:12:00	19.022	6.313
           2020-07-11 06:22:00	18.996	6.333
           2020-07-11 06:32:00	18.971	6.343
           2020-07-11 06:42:00	18.946	6.363
           2020-07-11 06:52:00	18.904	6.395
           2020-07-11 07:02:00	18.879	6.431
           2020-07-11 07:12:00	18.879	6.442
           2020-07-11 07:22:00	18.87	6.473
           2020-07-11 07:32:00	18.854	6.501
           2020-07-11 07:42:00	18.845	6.521
           2020-07-11 07:52:00	18.837	6.564
           2020-07-11 08:02:00	18.845	6.602
           2020-07-11 08:12:00	18.837	6.627
           2020-07-11 08:22:00	18.837	6.678
           2020-07-11 08:32:00	18.854	6.715
           2020-07-11 08:42:00	18.862	6.767
           2020-07-11 08:52:00	18.896	6.811
           2020-07-11 09:02:00	18.929	6.865
           2020-07-11 09:12:00	18.929	6.925
           2020-07-11 09:22:00	18.963	6.983
           2020-07-11 09:32:00	19.005	7.031
           2020-07-11 09:42:00	19.047	7.083
           2020-07-11 09:52:00	19.089	7.146
           2020-07-11 10:02:00	19.131	7.201
           2020-07-11 10:12:00	19.198	7.274
           2020-07-11 10:22:00	19.24	7.328
           2020-07-11 10:32:00	19.298	7.396
           2020-07-11 10:42:00	19.366	7.442
           2020-07-11 10:52:00	19.416	7.5
           2020-07-11 11:02:00	19.466	7.558
           2020-07-11 11:12:00	19.525	7.613
           2020-07-11 11:22:00	19.609	7.655
           2020-07-11 11:32:00	19.651	7.705
           2020-07-11 11:42:00	19.709	7.759
           2020-07-11 11:52:00	19.759	7.787
           2020-07-11 12:02:00	19.81	7.82
           2020-07-11 12:12:00	19.885	7.853
           2020-07-11 12:22:00	19.935	7.898
           2020-07-11 12:32:00	19.994	7.926
           2020-07-11 12:42:00	20.044	7.964
           2020-07-11 12:52:00	20.128	7.992
           2020-07-11 13:02:00	20.203	8.014
           2020-07-11 13:12:00	20.228	8.055
           2020-07-11 13:22:00	20.312	8.067
           2020-07-11 13:32:00	20.362	8.08
           2020-07-11 13:42:00	20.437	8.081
           2020-07-11 13:52:00	20.487	8.113
           2020-07-11 14:02:00	20.579	8.138
           2020-07-11 14:12:00	20.663	8.177
           2020-07-11 14:22:00	20.755	8.197
           2020-07-11 14:32:00	20.839	8.196
           2020-07-11 14:42:00	20.931	8.215
           2020-07-11 14:52:00	21.023	8.238
           2020-07-11 15:02:00	21.14	8.247
           2020-07-11 15:12:00	21.24	8.258
           2020-07-11 15:22:00	21.307	8.278
           2020-07-11 15:32:00	21.424	8.296
           2020-07-11 15:42:00	21.524	8.304
           2020-07-11 15:52:00	21.624	8.327
           2020-07-11 16:02:00	21.725	8.314
           2020-07-11 16:12:00	21.833	8.316
           2020-07-11 16:22:00	21.925	8.318
           2020-07-11 16:32:00	22.034	8.329
           2020-07-11 16:42:00	22.134	8.313
           2020-07-11 16:52:00	22.218	8.292
           2020-07-11 17:02:00	22.301	8.254
           2020-07-11 17:12:00	22.393	8.237
           2020-07-11 17:22:00	22.452	8.208
           2020-07-11 17:32:00	22.535	8.169
           2020-07-11 17:42:00	22.61	8.142
           2020-07-11 17:52:00	22.677	8.07
           2020-07-11 18:02:00	22.744	8.04
