               UTC_Date_&_Time	  Hora del Meridiano de Greenwich	   Temperature	  Dissolved Oxygen	  Dissolved Oxygen Saturation
           2020-07-22 13:09:00	              2020-07-22 14:09:00	18.844	8.533	91.700355
           2020-07-22 13:19:00	              2020-07-22 14:19:00	19.147	8.578	92.749703
           2020-07-22 13:29:00	              2020-07-22 14:29:00	19.172	8.582	92.839685
           2020-07-22 13:39:00	              2020-07-22 14:39:00	19.298	8.563	92.86922
           2020-07-22 13:49:00	              2020-07-22 14:49:00	19.357	8.558	92.925044
           2020-07-22 13:59:00	              2020-07-22 14:59:00	19.39	8.549	92.88882
           2020-07-22 14:09:00	              2020-07-22 15:09:00	19.457	8.519	92.687308
           2020-07-22 14:19:00	              2020-07-22 15:19:00	19.474	8.507	92.588285
           2020-07-22 14:29:00	              2020-07-22 15:29:00	19.491	8.478	92.304088
           2020-07-22 14:39:00	              2020-07-22 15:39:00	19.499	8.46	92.122874
           2020-07-22 14:49:00	              2020-07-22 15:49:00	19.482	8.446	91.93911
           2020-07-22 14:59:00	              2020-07-22 15:59:00	19.499	8.408	91.556634
           2020-07-22 15:09:00	              2020-07-22 16:09:00	19.474	8.394	91.358418
           2020-07-22 15:19:00	              2020-07-22 16:19:00	19.449	8.381	91.171237
           2020-07-22 15:29:00	              2020-07-22 16:29:00	19.457	8.373	91.098818
           2020-07-22 15:39:00	              2020-07-22 16:39:00	19.432	8.358	90.890053
           2020-07-22 15:49:00	              2020-07-22 16:49:00	19.424	8.354	90.831983
           2020-07-22 15:59:00	              2020-07-22 16:59:00	19.415	8.335	90.609042
           2020-07-22 16:09:00	              2020-07-22 17:09:00	19.399	8.325	90.471292
           2020-07-22 16:19:00	              2020-07-22 17:19:00	19.382	8.314	90.320937
           2020-07-22 16:29:00	              2020-07-22 17:29:00	19.357	8.301	90.134469
           2020-07-22 16:39:00	              2020-07-22 17:39:00	19.357	8.277	89.873871
           2020-07-22 16:49:00	              2020-07-22 17:49:00	19.323	8.273	89.769128
           2020-07-22 16:59:00	              2020-07-22 17:59:00	19.289	8.264	89.610234
           2020-07-22 17:09:00	              2020-07-22 18:09:00	19.264	8.27	89.630242
           2020-07-22 17:19:00	              2020-07-22 18:19:00	19.231	8.264	89.505793
           2020-07-22 17:29:00	              2020-07-22 18:29:00	19.197	8.25	89.293052
           2020-07-22 17:39:00	              2020-07-22 18:39:00	19.164	8.254	89.277013
           2020-07-22 17:49:00	              2020-07-22 18:49:00	19.147	8.251	89.214013
           2020-07-22 17:59:00	              2020-07-22 18:59:00	19.105	8.24	89.019705
           2020-07-22 18:09:00	              2020-07-22 19:09:00	19.088	8.241	89.000001
           2020-07-22 18:19:00	              2020-07-22 19:19:00	19.054	8.241	88.938993
           2020-07-22 18:29:00	              2020-07-22 19:29:00	19.004	8.245	88.892416
           2020-07-22 18:39:00	              2020-07-22 19:39:00	18.996	8.234	88.759482
           2020-07-22 18:49:00	              2020-07-22 19:49:00	18.962	8.236	88.720092
           2020-07-22 18:59:00	              2020-07-22 19:59:00	18.928	8.234	88.637622
           2020-07-22 19:09:00	              2020-07-22 20:09:00	18.886	8.239	88.616151
           2020-07-22 19:19:00	              2020-07-22 20:19:00	18.861	8.235	88.528337
           2020-07-22 19:29:00	              2020-07-22 20:29:00	18.836	8.234	88.472806
           2020-07-22 19:39:00	              2020-07-22 20:39:00	18.785	8.221	88.241928
           2020-07-22 19:49:00	              2020-07-22 20:49:00	18.769	8.224	88.245512
           2020-07-22 19:59:00	              2020-07-22 20:59:00	18.735	8.219	88.131093
           2020-07-22 20:09:00	              2020-07-22 21:09:00	18.71	8.214	88.032829
           2020-07-22 20:19:00	              2020-07-22 21:19:00	18.643	8.222	87.998812
           2020-07-22 20:29:00	              2020-07-22 21:29:00	18.609	8.221	87.927357
           2020-07-22 20:39:00	              2020-07-22 21:39:00	18.592	8.222	87.907675
           2020-07-22 20:49:00	              2020-07-22 21:49:00	18.542	8.217	87.76494
           2020-07-22 20:59:00	              2020-07-22 21:59:00	18.499	8.222	87.741534
           2020-07-22 21:09:00	              2020-07-22 22:09:00	18.483	8.221	87.702289
           2020-07-22 21:19:00	              2020-07-22 22:19:00	18.466	8.217	87.629273
           2020-07-22 21:29:00	              2020-07-22 22:29:00	18.407	8.226	87.619846
           2020-07-22 21:39:00	              2020-07-22 22:39:00	18.382	8.231	87.62842
           2020-07-22 21:49:00	              2020-07-22 22:49:00	18.331	8.234	87.569185
           2020-07-22 21:59:00	              2020-07-22 22:59:00	18.306	8.237	87.556388
           2020-07-22 22:09:00	              2020-07-22 23:09:00	18.306	8.239	87.577647
           2020-07-22 22:19:00	              2020-07-22 23:19:00	18.238	8.244	87.509124
           2020-07-22 22:29:00	              2020-07-22 23:29:00	18.196	8.254	87.540049
           2020-07-22 22:39:00	              2020-07-22 23:39:00	18.154	8.273	87.666174
           2020-07-22 22:49:00	              2020-07-22 23:49:00	18.146	8.259	87.503487
           2020-07-22 22:59:00	              2020-07-22 23:59:00	18.087	8.27	87.514197
           2020-07-22 23:09:00	              2020-07-23 00:09:00	18.078	8.276	87.561536
           2020-07-22 23:19:00	              2020-07-23 00:19:00	18.044	8.282	87.563954
           2020-07-22 23:29:00	              2020-07-23 00:29:00	18.028	8.276	87.471804
           2020-07-22 23:39:00	              2020-07-23 00:39:00	18.002	8.299	87.668116
           2020-07-22 23:49:00	              2020-07-23 00:49:00	17.96	8.292	87.518672
           2020-07-22 23:59:00	              2020-07-23 00:59:00	17.926	8.305	87.594677
           2020-07-23 00:09:00	              2020-07-23 01:09:00	17.918	8.305	87.580277
           2020-07-23 00:19:00	              2020-07-23 01:19:00	17.876	8.302	87.473077
           2020-07-23 00:29:00	              2020-07-23 01:29:00	17.85	8.324	87.657982
           2020-07-23 00:39:00	              2020-07-23 01:39:00	17.85	8.315	87.563205
           2020-07-23 00:49:00	              2020-07-23 01:49:00	17.808	8.325	87.592761
           2020-07-23 00:59:00	              2020-07-23 01:59:00	17.774	8.339	87.678647
           2020-07-23 01:09:00	              2020-07-23 02:09:00	17.774	8.337	87.657618
           2020-07-23 01:19:00	              2020-07-23 02:19:00	17.732	8.355	87.770874
           2020-07-23 01:29:00	              2020-07-23 02:29:00	17.698	8.352	87.677864
           2020-07-23 01:39:00	              2020-07-23 02:39:00	17.69	8.36	87.747365
           2020-07-23 01:49:00	              2020-07-23 02:49:00	17.665	8.362	87.723094
           2020-07-23 01:59:00	              2020-07-23 02:59:00	17.665	8.373	87.838492
           2020-07-23 02:09:00	              2020-07-23 03:09:00	17.639	8.377	87.833301
           2020-07-23 02:19:00	              2020-07-23 03:19:00	17.631	8.38	87.850244
           2020-07-23 02:29:00	              2020-07-23 03:29:00	17.589	8.39	87.878801
           2020-07-23 02:39:00	              2020-07-23 03:39:00	17.563	8.382	87.747841
           2020-07-23 02:49:00	              2020-07-23 03:49:00	17.546	8.398	87.884443
           2020-07-23 02:59:00	              2020-07-23 03:59:00	17.546	8.394	87.842583
           2020-07-23 03:09:00	              2020-07-23 04:09:00	17.504	8.413	87.964958
           2020-07-23 03:19:00	              2020-07-23 04:19:00	17.504	8.401	87.839488
           2020-07-23 03:29:00	              2020-07-23 04:29:00	17.47	8.408	87.850831
           2020-07-23 03:39:00	              2020-07-23 04:39:00	17.462	8.418	87.940747
           2020-07-23 03:49:00	              2020-07-23 04:49:00	17.445	8.412	87.847132
           2020-07-23 03:59:00	              2020-07-23 04:59:00	17.411	8.428	87.952241
           2020-07-23 04:09:00	              2020-07-23 05:09:00	17.394	8.432	87.962982
           2020-07-23 04:19:00	              2020-07-23 05:19:00	17.377	8.436	87.973696
           2020-07-23 04:29:00	              2020-07-23 05:29:00	17.352	8.438	87.948936
           2020-07-23 04:39:00	              2020-07-23 05:39:00	17.318	8.456	88.074387
           2020-07-23 04:49:00	              2020-07-23 05:49:00	17.318	8.457	88.084803
           2020-07-23 04:59:00	              2020-07-23 05:59:00	17.284	8.468	88.137132
           2020-07-23 05:09:00	              2020-07-23 06:09:00	17.259	8.469	88.101775
           2020-07-23 05:19:00	              2020-07-23 06:19:00	17.25	8.469	88.0853
           2020-07-23 05:29:00	              2020-07-23 06:29:00	17.225	8.485	88.205868
           2020-07-23 05:39:00	              2020-07-23 06:39:00	17.225	8.482	88.174682
           2020-07-23 05:49:00	              2020-07-23 06:49:00	17.199	8.498	88.293262
           2020-07-23 05:59:00	              2020-07-23 06:59:00	17.174	8.508	88.3512
           2020-07-23 06:09:00	              2020-07-23 07:09:00	17.174	8.514	88.413507
           2020-07-23 06:19:00	              2020-07-23 07:19:00	17.14	8.526	88.47549
           2020-07-23 06:29:00	              2020-07-23 07:29:00	17.115	8.547	88.647249
           2020-07-23 06:39:00	              2020-07-23 07:39:00	17.115	8.549	88.667993
           2020-07-23 06:49:00	              2020-07-23 07:49:00	17.106	8.566	88.827659
           2020-07-23 06:59:00	              2020-07-23 07:59:00	17.081	8.581	88.936869
